Meal,Grams,Calories
Artichoke,128,60
Arugula,2,1
Asparagus,12,2
Aubergine,458,115
Beetroot,82,35
Bell Pepper,73,15
Black Olives,2.7,2
Broccoli,608,207
Brussels Sprouts,19,8
Cabbage,908,227
Capsicum,45,12
Carrot,61,25
Cauliflower,13,3
Celery,40,6
Chard,48,9
Cherry Tomato,20,20
Chicory,53,38
Chinese Cabbage,840,134
Chives,3,1
Collard Greens,36,12
Corn,154,562
Courgette,196,33
Creamed Spinach,200,148
Cucumber,410,66
Eggplant,458,115
Endive,513,87
Fennel,234,73
Garlic,3,4
Gherkin,65,9
Gourd,771,108
Green Beans,110,34
Green Olives,2.7,2
Green Onion,15,5
Horseradish,15,7
Kale,67,33
Kohlrabi,400,108
Kumara,130,112
Leek,89,54
Lettuce,600,90
Mushrooms,5.4,1
Mustard Greens,56,15
Nori,2.6,1
Okra,12,4
Olives,2.7,2
Onion,85,34
Parsnips,170,128
Peas,98,79
Pepper,75,20
Potato,213,164
Pumpkin,196,51
Radishes,4.5,1
Red Cabbage,22,7
Rutabaga,386,147
Shallots,25,18
Spinach,340,78
Squash,196,88
Sweet Potato,130,112
Tomato,111,20
Turnip Greens,170,34
Turnips,122,34
Wasabi,169,184
Winter Squash,431,147
Zucchini,196,33
Acai,28.35,20
Apple,182,95
Applesauce,246,167
Apricot,35,17
Avocado,200,320
Banana,125,111
Blackberries,144,62
Blood Oranges,140,70
Blueberries,148,84
Cantaloupe,69,23
Cherries,8,4
Clementine,74,35
Cranberries,100,46
Currants,112,63
Custard Apple,135,136
Dates,7.1,20
Figs,50,37
Fruit salad,249,125
Grapes,151,104
Greengage,5,2
Guava,55,37
Jackfruit,151,143
Jujube,28.35,22
Kiwi,183,112
Lemon,58,17
Lime,67,20
Lychees,10,7
Mandarin Oranges,88,47
Mango,336,202
Minneola,109,70
Mulberries,140,60
Nectarine,150,66
Olives,2.7,2
Orange,131,62
Papaya,500,215
Passion Fruit,18,17
Peach,150,59
Pear,178,101
Persimmon,25,32
Physalis,5,2
Pineapple,905,453
Plantains,179,218
Plum,66,30
Pomegranate,282,234
Quince,92,52
Raisins,145,434
Rambutan,9,7
Raspberries,123,64
Rhubarb,51,11
Starfruit,91,28
Strawberries,152,49
Tamarind,2,5
Tangerine,88,47
Watermelon,286,86
Baby Back Ribs,139,360
Bacon and Eggs,214,539
Baked Beans,260,244
BBQ Ribs,141,360
Beef Stew,196,186
Biryani,275,484
Black Pudding,40,101
Black Rice,100,323
BLT,240,593
Brown Rice,185,670
Burrito,200,326
Butter Chicken,350,490
California Roll,35,33
Chicken Caesar Salad,309,392
Chicken Fried Steak,280,423
Chicken Marsala,2301,2209
Chicken Parmesan,227,250
Chicken Pot Pie,302,673
Chicken Tikka Masala,241,195
Chili con Carne,253,266
Chimichanga,180,418
Cobb Salad,536,632
Collard Greens,45,13
Corn Dog,175,438
Corned Beef Hash,213,349
Cottage Pie,376,523
Dal,92,304
Deviled Eggs,31,62
Dim Sum,19,37
Dosa,435,287
Enchiladas,192,323
Fajita,248,290
Fish and Chips,300,585
Fried Rice,356,662
Fried Shrimp,27,75
Grilled Cheese Sandwich,136,392
Ham and Cheese Sandwich,146,352
Hummus,246,435
Jambalaya,250,250
Kebab,360,774
Lasagne,215,284
Mac and Cheese,189,699
Macaroni and Cheese,189,699
Mashed Potatoes,210,174
Meat Pie,120,290
Meatloaf,284,721
Naan,84,260
Orange Chicken,162,420
Pad Thai,250,375
Paella,128,200
Paratha,80,260
Pea Soup,253,190
Peanut Butter Sandwich,49,200
Peking Duck,178,401
Philly Cheese Steak,120,300
Pizza,102,272
Pork Chop,131,295
Potato Salad,95,136
Pulled Pork Sandwich,261,551
Ramen,85,380
Ravioli,66,134
Reuben Sandwich,308,641
Roast Beef,21,23
Roast Dinner,121,240
Samosa,50,107
Sausage Roll,103,361
Sausage Rolls,34,101
Shepherds Pie,227,159
Shrimp Cocktail,28,130
Sloppy Joe,142,101
Sloppy Joes,258,397
Spaghetti Bolognese,283,374
Spring Roll,140,350
Spring Rolls,140,350
Taco,98,213
Tandoori Chicken,175,198
Yorkshire Pudding,15,83
Amaranth,193,716
Barley,157,556
Barley Groats,31,31
Brown Rice,195,757
Buckwheat,170,583
Buckwheat Groats,164,567
Corn Waffles,40,110
Cornmeal,122,442
Cornstarch,128,488
Couscous,173,650
Cracker,7,35
